RowsLeft,ColsLeft,RowsRight,ColsRight,Mode,Mean,StdDev
200,200,200,200,Ordinary,0.054850980000000,0.000681502420832
200,200,200,200,Parallel,0.013529480000000,0.001786279669481
500,500,500,500,Ordinary,0.805806140000000,0.004129805103682
500,500,500,500,Parallel,0.162254840000000,0.010230168764512
1000,1000,1000,1000,Ordinary,6.535903819999999,0.083305144025382
1000,1000,1000,1000,Parallel,1.480991840000000,0.107012384629025
2000,2000,2000,2000,Ordinary,51.139325639999996,0.236133309432376
2000,2000,2000,2000,Parallel,11.128968980000000,0.297195293698541
