RowsLeft,ColsLeft,RowsRight,ColsRight,Mode,Mean,StdDev
200,200,200,200,Ordinary,0.054445720000000,0.000354150715939
200,200,200,200,Parallel,0.017675860000000,0.002097280137321
500,500,500,500,Ordinary,0.841683140000000,0.006410051752864
500,500,500,500,Parallel,0.173267720000000,0.012660218799594
1000,1000,1000,1000,Ordinary,6.680749720000000,0.023864929525930
1000,1000,1000,1000,Parallel,1.511992680000000,0.032458965579907
2000,2000,2000,2000,Ordinary,53.641656079999997,0.339752666952578
2000,2000,2000,2000,Parallel,42.061959299999998,1.704941389757862
